Product Name,Original_price,Offer_price,percentage,Brand,assurance,products_link
KYRIS M Running Shoes For Men,"1,990","4,599",56% off,ADIDAS,True,https://www.flipkart.com/adidas-kyris-m-running-shoes-men/p/itmf7g8hvwghrza9?pid=SHOF7G8HBGMWHXMT&lid=LSTSHOF7G8HBGMWHXMTGZRDR8&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=584e5971-ea5d-4a29-ae61-9087d538148b.SHOF7G8HBGMWHXMT.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
HYPERON M SS 19 Running Shoes For Men,"1,799","2,999",40% off,ADIDAS,True,https://www.flipkart.com/adidas-hyperon-m-ss-19-running-shoes-men/p/itmfd3htfyzbskpy?pid=SHOFD3HTJNJXYKSH&lid=LSTSHOFD3HTJNJXYKSHN2NSTM&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=ae98458e-f53e-42d8-b8b3-b4fc4ace934c.SHOFD3HTJNJXYKSH.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
Erdiga 3 M Running Shoes For Men,"2,364","4,299",45% off,ADIDAS,True,https://www.flipkart.com/adidas-erdiga-3-m-running-shoes-men/p/itmfhwpanhwvrghg?pid=SHOFHWPA6CSV2ZVH&lid=LSTSHOFHWPA6CSV2ZVHLPMLKM&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=6896ed7e-7e40-46ea-bce5-fc80f2d9dc7c.SHOFHWPA6CSV2ZVH.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ADIRAY M Men Running Shoes For Men,"1,650","3,299",49% off,ADIDAS,True,https://www.flipkart.com/adidas-adiray-m-men-running-shoes/p/itmf3yy9kehx3bhj?pid=SHOEGYEKXZUMBSSG&lid=LSTSHOEGYEKXZUMBSSGMC6IZ8&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c0a44717-f868-4c39-8b62-fefb8b72e702.SHOEGYEKXZUMBSSG.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
DROGO M SS 19 Running Shoes For Men,"1,899","2,699",29% off,ADIDAS,True,https://www.flipkart.com/adidas-drogo-m-ss-19-running-shoes-men/p/itmfd3hugrb2jny7?pid=SHOFD3HUTGHWSBRX&lid=LSTSHOFD3HUTGHWSBRXA3OKTV&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=29047a4e-a6e4-4057-abd2-9dd1d9d14f8c.SHOFD3HUTGHWSBRX.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
PUARO M SS 19 Running Shoes For Men,"2,479","4,999",50% off,ADIDAS,True,https://www.flipkart.com/adidas-puaro-m-ss-19-running-shoes-men/p/itmfd3hqkwf82kyz?pid=SHOFD3HQQHZG9XGG&lid=LSTSHOFD3HQQHZG9XGG6LVGS4&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=0a1a1c05-3760-4220-8aeb-18431f445590.SHOFD3HQQHZG9XGG.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ASWEERUN Running Shoes For Men,"3,527","5,599",37% off,ADIDAS,True,https://www.flipkart.com/adidas-asweerun-running-shoes-men/p/itmfbzwuuq8fhqs9?pid=SHOFBZQX7ZHCHEWY&lid=LSTSHOFBZQX7ZHCHEWYJSV2FB&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=8cd98351-cfae-45ce-8303-d0707a376d6a.SHOFBZQX7ZHCHEWY.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ZETA 2.0 M SS 19 Running Shoes For Men,"2,667","4,599",42% off,ADIDAS,True,https://www.flipkart.com/adidas-zeta-2-0-m-ss-19-running-shoes-men/p/itmfd3hugadacg4g?pid=SHOFD3G8THWRH8AH&lid=LSTSHOFD3G8THWRH8AHRZD02D&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=4d08d572-95ae-4cd8-b29b-3fa60057f977.SHOFD3G8THWRH8AH.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
ADISPREE 5.0 M SS 19 Running Shoes For Men,"2,279","3,799",40% off,ADIDAS,True,https://www.flipkart.com/adidas-adispree-5-0-m-ss-19-running-shoes-men/p/itmfd3hrwts22uzf?pid=SHOFD3HR5HND4UH4&lid=LSTSHOFD3HR5HND4UH47TIQKD&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=356ab138-7d1f-4706-8c6a-50ef1628631a.SHOFD3HR5HND4UH4.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
JERZO M SS 19 Running Shoes For Men,"3,338","5,299",37% off,ADIDAS,True,https://www.flipkart.com/adidas-jerzo-m-ss-19-running-shoes-men/p/itmfd3hucbww6pzq?pid=SHOFD4G3RN5T96CA&lid=LSTSHOFD4G3RN5T96CAXTZVDC&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=a068ab26-dd1b-4172-b9ae-e8277ae50876.SHOFD4G3RN5T96CA.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
DURAMO 9 Running Shoes For Men,"3,299","6,599",50% off,ADIDAS,True,https://www.flipkart.com/adidas-duramo-9-running-shoes-men/p/itmf7g8favyhemzg?pid=SHOF7G8FWY7VADXP&lid=LSTSHOF7G8FWY7VADXPJ0YEAP&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=4fc1a2a4-4d24-4c14-9898-8aab7e46dec0.SHOF7G8FWY7VADXP.SEARCH&ssid=v72wrtoh6o0000001568520475782&qH=70363420bf22443f
